"__src_domain__","__src_entity_type__","__src_entity_id__","__relation_type__","__dest_domain__","__dest_entity_type__","__dest_entity_id__"
"acs","acs.vpc.vpc","5196801e4c73cfc42be6eee6f5a5e0df","contains","acs","acs.ess.scalinggroup","5ab28937d2dc931ca36087258ff3ee76"
"acs","acs.vpc.vpc","d9aac73473715bf951ef4e777ee4ade5","contains","acs","acs.ecs.instance","20d9b1ad3653a07d9c84c62a7d70d9c1"
"acs","acs.vpc.vswitch","8f5e9c2d6c1c462bbd4abfe8fc5cbb39","contains","acs","acs.ecs.instance","3659081b1f26399d7a233452850109a4"
"acs","acs.vpc.vpc","cd42d3267c435a84c7da0b0732fa12a8","contains","acs","acs.ecs.instance","f1e58b43a73317ba02d965f1ebcf0928"
"acs","acs.vpc.vpc","d905391de38da54e45e3e4e6ecba40bb","contains","acs","acs.ecs.instance","8d072543242c57cf44a5fe64e453d951"
"acs","acs.vpc.vpc","5d95ce9d8dfb342821560d0ae41637de","contains","acs","acs.ecs.instance","8472d00904b9850441116e859d6d5c0d"
"acs","acs.vpc.vswitch","29ded295553bd8540ea71117d2c895b6","contains","acs","acs.ecs.instance","6ace1cda5a046c33f9b31b9cedaccb76"
"acs","acs.vpc.vpc","88ddbbcdeb5c740f25f78d07f0b78397","contains","acs","acs.ecs.instance","947ea769e25382e7d0dd7dc5b01fda2a"
"acs","acs.vpc.vswitch","d3c6f477367b7c3da90ec8040ce94689","contains","acs","acs.ecs.instance","d136db26360a00031c4c9a255c99eed1"
"acs","acs.sls.project","41cfcc4e48fe16220128ec5d8657f420","contains","acs","acs.sls.logstore","886664e1a99ca61713e7237dd59d4c4c"
"acs","acs.sls.project","41cfcc4e48fe16220128ec5d8657f420","contains","acs","acs.sls.logstore","fab17fb0e68fc649b70e9a9edbb8e893"
"acs","acs.sls.project","149d3852de086f4d725868ddd016254a","contains","acs","acs.sls.logstore","2a9cccb2855e4e4add62d19d0fe13deb"
"acs","acs.vpc.vswitch","8f5e9c2d6c1c462bbd4abfe8fc5cbb39","contains","acs","acs.ecs.instance","5b810646c3b6af3ad609b31d93411646"
"acs","acs.vpc.vpc","4cdc1f558669c1cec1ecff4cf2732add","contains","acs","acs.ecs.instance","250316adea40fb598bd68edc71921496"
"acs","acs.vpc.vpc","49c2a2f150be70783962d688c39dc126","contains","acs","acs.ecs.instance","9599411cdc9523be891d8ca7854e9497"
"acs","acs.vpc.vswitch","a77527a691f242451ecded4f41821eae","contains","acs","acs.ecs.instance","fc03c361c5622dcb4e5260424be422a3"
"acs","acs.slb.loadbalancer","df8384b9423e22a13692f180ce8969ca","contains","acs","acs.slb.vservergroup","6b34ce5f1979d0ed2220720bf243cf3c"
"acs","acs.slb.loadbalancer","df8384b9423e22a13692f180ce8969ca","contains","acs","acs.slb.vservergroup","c5178ea382904e3be86bc78b994b8644"
"acs","acs.sls.project","8bd623ab4bddd382cb515179ad3b6a3a","contains","acs","acs.sls.logstore","47669e394371d0dab231e4b9b0142a4b"
"acs","acs.sls.project","bc64dc7882efa05ebdfbc4684f202a09","contains","acs","acs.sls.logstore","156d1c4d0186929440bbc23ceb155885"
"acs","acs.sls.project","e36494b689aa1dd212c89459c5dd1cea","contains","acs","acs.sls.logstore","beee784964825acf455cfaee8526f076"
